state,Month,Low,High
Minnesota,Jan,4.30 ,21.90 
Minnesota,Feb,11.80 ,28.40 
Minnesota,Mar,23.50 ,40.60 
Minnesota,Apr,36.20 ,57.00 
Minnesota,May,48.50 ,70.10 
Minnesota,Jun,57.80 ,79.00 
Minnesota,Jul,63.00 ,83.30 
Minnesota,Aug,60.80 ,80.40 
Minnesota,Sep,50.80 ,71.10 
Minnesota,Oct,38.90 ,58.40 
Minnesota,Nov,24.80 ,40.10 
Minnesota,Dec,10.90 ,26.40 
California,Jan,42.59 ,58.54 
California,Feb,44.79 ,62.16 
California,Mar,46.69 ,64.20 
California,Apr,49.21 ,68.53 
California,May,53.44 ,73.17 
California,Jun,57.74 ,78.60 
California,Jul,60.89 ,82.66 
California,Aug,60.83 ,82.64 
California,Sep,58.67 ,80.24 
California,Oct,53.41 ,74.20 
California,Nov,46.54 ,64.90 
California,Dec,42.03 ,58.80 
Washington,Jan,32.05 ,43.03 
Washington,Feb,33.78 ,47.13 
Washington,Mar,36.10 ,52.03 
Washington,Apr,39.43 ,57.68 
Washington,May,44.98 ,63.98 
Washington,Jun,49.90 ,69.20 
Washington,Jul,53.83 ,75.13 
Washington,Aug,54.13 ,75.60 
Washington,Sep,49.03 ,69.98 
Washington,Oct,42.20 ,59.43 
Washington,Nov,36.63 ,48.48 
Washington,Dec,32.05 ,42.83 
Maine,Jan,12.50 ,30.90 
Maine,Feb,15.60 ,34.10 
Maine,Mar,25.20 ,42.20 
Maine,Apr,34.70 ,52.80 
Maine,May,44.20 ,63.30 
Maine,Jun,52.90 ,72.80 
Maine,Jul,58.60 ,78.80 
Maine,Aug,57.20 ,77.30 
Maine,Sep,48.50 ,68.90 
Maine,Oct,37.40 ,57.90 
Maine,Nov,29.50 ,47.10 
Maine,Dec,18.70 ,36.40 
Georgia,Jan,35.33 ,56.30 
Georgia,Feb,38.13 ,60.60 
Georgia,Mar,44.97 ,68.17 
Georgia,Apr,50.93 ,75.50 
Georgia,May,59.80 ,82.57 
Georgia,Jun,67.27 ,88.50 
Georgia,Jul,70.97 ,91.17 
Georgia,Aug,70.23 ,89.57 
Georgia,Sep,65.10 ,84.57 
Georgia,Oct,53.33 ,75.93 
Georgia,Nov,44.30 ,67.20 
Georgia,Dec,37.53 ,58.80 
Colorado,Jan,14.93 ,41.47 
Colorado,Feb,20.20 ,47.67 
Colorado,Mar,27.57 ,55.57 
Colorado,Apr,35.40 ,63.50 
Colorado,May,45.00 ,73.20 
Colorado,Jun,53.93 ,85.03 
Colorado,Jul,59.83 ,90.50 
Colorado,Aug,58.40 ,88.13 
Colorado,Sep,48.80 ,79.50 
Colorado,Oct,36.60 ,67.37 
Colorado,Nov,24.10 ,51.87 
Colorado,Dec,16.33 ,42.80 
